contribution	date	full_text	helpful	rating	showname	title	user
23	June 19, 2018	This show moved me to tears multiple times. The actors were amazing and really poured their hearts into the show. No matter what seats you have, it is quite easy to see the stage. The merch store was great too, although it was expensive. This is my favorite show on Broadway, and I hope to be able to see it again someday!	37	5	Dear Evan Hansen	Arguably the Best Show on Broadway	Larangie F
204	November 27, 2016	What an amazing Broadway Show the story the strong performance by the cast . The lead Ben Platt was amazing stone voice The great thing about the story is how this is so relatable in people's lives The musical just rocks next year's Tony Award	38	5	Dear Evan Hansen	Phenomenal Broadway Musical	1210tgho
127	December 13, 2016	This show is a must see while in NYC. It was a show with deep emotions, that will follow you through the coming days. I don't think one person in the theater was emotionless during key points, which is SO hard to accomplish. The music is beautiful, and the show is well written. Ben Platt is one talented actor/singer. Go see it - This musical is certainly worthy of the buzz. #youwillbefound	44	5	Dear Evan Hansen	Run to see this show	melissa1233
1	January 10, 2017	"In 2009, Broadway was forever changed by a completely original musical focusing on mental health. Next to Normal went on to win Tony awards, a Pulitzer Prize, recouped its investment and paved the way for shows like Fun Home and Dear Evan Hansen to be commercial successes on Broadway. When I first heard about Dear Evan Hansen and its similarities to the aforementioned show, I was sure I'd be a huge fan. However, it lacks in comparison in almost every aspect.  To focus on the positive, Ben Platt as Evan Hansen is giving an extraordinary performance for such a young man. Rachel Bay Jones is also strong as his mother. There are a few moments when all the components in the show work together to create strong theatrical magic. But these are few and far between and not worth the ever increasing price of Dear Evan Hansen tickets. The score is largely basic and unmemorable (with ""Waving Through a Window"" being the major exception). The composers did stronger work with their off-Broadway musical Dogfight from a few years back. The set design becomes irritating over time. There is little to comment on in regards to costumes or choreography. But my major problems with this show lie with its plot and characters. The only character I felt even slightly endeared to was Evan Hansen himself and even he became irritating at times. Every other character was either a stock stereotype, completely unlikable or both at the same time. When you're dealing with such emotional subject matter, you want to be able to feel for the characters, but that's impossible when they're so thinly drawn. The plot is unrealistic. Watching someone get stuck in a lie is one thing but watching the only likeable character get stuck in lie after lie after lie after lie is frustrating. It's also completely predictable. The audience knows at some point he will come clean, taking away any element of dramatic tension. Once the confession has been made, the show is at its best. Unfortunately, by that point there is not much of the show left. The show deals with subject matters such as social anxiety and suicide yet is mostly lighthearted and overly comical until the final section. Whilst the show may be about teenagers, I felt there was little need to make such a serious show so adolescent. I found it difficult to understand why Next to Normal was unafraid to go deep and dark back in 2009, when the kind of show it is was unprecedented, but Dear Evan Hansen is terrified to in 2016 when shows like Next to Normal and Fun Home have paved the way for it. I admire an original musical, I admire difficult subject matter and I admire the efforts of the cast to elevate the material. But ultimately this is just average and the emotion it attempts to convey will likely not be reached by anyone that knows great storytelling. I'm sure a lot will be said about how innovative this show is, but the truth is, it has been done before and to a much higher quality. The true innovative show of the season is Natasha, Pierre & The Great Comet of 1812. And trust me when I say, neither is the next Hamilton. Shows like Hamilton come along once every twenty years, not once every year."	5	3	Dear Evan Hansen	Poor man's Next to Normal	Aleeigh
104	February 6, 2017	Ben Platt made this show by his excellent singing and nuanced acting. I liked it a lot both the book and the score. However, it will make you cry and if you've lost someone recently it will be pretty intense. Not unbearable, but be forewarned about the crying. Good view from the balcony center.  The set was underwhelming, but that's my only criticism. 	79	5	Dear Evan Hansen	Great show, especially. Ben Platt's singing	Rob H
20	March 7, 2017	Ben Platt leads this amazing musical that explores anxiety, honesty, and how the modern social media landscape can amplify the beauty as well as the complexities of life. This musical was so touching and made me feel all the feels. I laughed, cried and left so hopeful and happy.  This musical achieves everything a theater experience is meant to.	9	5	Dear Evan Hansen	SIMPLY AMAZING	Cy M
14	April 9, 2017	Went to the show to see Ben Platt. Inside the Playbill it said that the understudy would be playing Evan Hansen in the performance about about to begin. Contacted the manager and he said I could not exchange my tickets for another performance. Stayed about 15 minutes, and walked out in disgust. It should be advertised in the front of the theatre when the lead in a show won't be in it, and the theatre goers should be offered options to exchange ticket, or for a refund!	81	1	Dear Evan Hansen	Star Missing	amefromnyc
928	May 8, 2017	This is not your typical feel good musical. It has a strong message about alienation-- not just of teens but also of adults and parents. Ben Platt has gotten lots of attention, but I was especially impressed with Michael Lee Brown as Jared who actually was standing in for the regular Jared.  Only thing I did not enjoy was the tiny leg room in this old theater.	1046	5	Dear Evan Hansen	A musical with a message	Torte_Sue
221	June 9, 2017	People don't want to talk much about the plot of this musical, because they don't want to give away the surprises. Don't let that reticence fool you: the story grabs your attention. And the performances--and the VOICES--are richly beautiful. How far would you go to escape your loneliness? DEH explores that question, and that exploration will move you.	85	5	Dear Evan Hansen	Everything You've Heard Is True	Andrew W
411	July 14, 2017	My daughter chose this one and it was truly excellent. Ben Platt is amazing. The subject matter is dark and not suitable for younger kids. We loved it and I have to admit that it made me cry. I highly recommend it for teens and adults.	268	5	Dear Evan Hansen	Excellent	misanthropicdreamer
41	August 7, 2017	I love fun musicals that make you feel good while you're watching them and afterwards (like Kinky Boots and Something Rotten). I also love more dramatic musicals that aren't a laugh a minute but have great scores and songs that you are singing long after seeing the show (like Les Miserables and Phantom). Dear Evan Hansen is something new entirely. It is dramatic, heart wrenching, deep, exquisitely acted, moving, and thought provoking. This is not a musical where the action stops so they can pop in a catchy song. The songs blend seamlessly into the storyline and dialogue and enhance the drama rather than detracting from it. I'll be stunned if Ben Platt doesn't go on to have an incredible career both in musical theater and film. His acting is superb (reminiscent of Dustin Hoffman in Rainman or Tom Hanks in Forrest Gump). The rest of the cast is terrific as well. This is a show that everyone, especially teens, should see (not appropriate for children though because it deals with very heavy issues such as suicide) to make them think a little more about what others might be going through in life that isn't always apparent on the surface. Bring tissues---lots of them!	20	5	Dear Evan Hansen	Outstanding!	LilyVonSchtupp
23	September 4, 2017	Saw Ben Platt's mesmerizing performance at the Tony awards, and with an upcoming NY trip planned wanted to see the show. Quickly learned it was sold out for months. Figured I would try the cancelation line and lottery. Fortunately the few days there Ben Pratt was ill (ok, maybe not fortunate for him), so that increased a cancellation possibility. Got a ticket.  I can see the appeal for teens, their angst, insecurities, ravaged self-esteem, and soul-searching, as well as for the parents forced to suffer through such travails.  End of first Act is a tear-jerker. The entire family in front balling, many sobs all around when the lights went up.  Second Act was not as emotional. I won't drone on as billions of reviews here. Wasn't the life-changing experience some apparently have, but was entertaining. Lots of fun numbers to see.  The guy who played the lead in Ben's place did well, though I personally wondered if he was too good-looking and had too pretty of a voice for that role. Just one person's opinion.  Not a must see, but a fun evening.  The end of Act 1 is a tear-jerker. The family in front was balling.	24	4	Dear Evan Hansen	Entertaining show.	Grumbly
33	September 25, 2017	The best broadway show I've ever seen. Ben Platt is otherworldly. The show will still be amazing without him, because that's how good the show is, but he's beyond sensational.	10	5	Dear Evan Hansen	Amazing	lansing526
810	November 29, 2017	Dear Evan Hansen is a coming of age play, but it goes so beyond that. It covers the parents, friends, school, social media, suicide, depression, and confusion of growing up. It will make you cry, laugh, cry and cry again. The actors are phenomenal, we did not see the original Evan, but ours was amazing. So there is nothing lost in the story. I highly recommend getting tickets if you can. An excellent play. Bring tissues Note: Absolutely NO late seating. To the start and after intermission	254	5	Dear Evan Hansen	Wowser!!! One of the BEST for 2017	NickellFamilyTravel
24	December 28, 2017	I found this musical incredibly modern and dealing with the life of teenagers nowadays and the social media. Great acting extremely emotional 	13	5	Dear Evan Hansen	Emotional story extremely up today 	Marta C
1573	January 28, 2018	"There's a reason this show is a hit with audiences and critics--it's superb, surprising, and stirring. It's the kind of show where you keep thinking about it and talking about it weeks after seeing it--about the plot and the social issues it raises, about the staging and storytelling, about the performances. The story has sad roots, but the show is not dark or depressing; rather, it's quite uplifting by the end. It's portrayal of struggle is real--and not just for the main character, but for all of the parents and peers in his orbit. The music is deeply memorable--these are some melodies you'll sing for some time to come. There's a real emotional power to the lyrics and the songwriting. The staging is minimal and very impressive; the visual imagery very effectively reinforces the musical's social media storyline while the simple sets effectively convey the various environments in which the plot advances. And the performances. Wow. Yes, the main character is the star--he must be so drained by the end of every performance, given the sheer emotional output and the deep physicality of the acting. The anxiety from which he suffers is portrayed in how he sings and right through how he uses his hands, arms, feet, etc.; it's an all-encompassing performance. But what makes this such a strong show is the strength of the ensemble--each character means something and the performances of the other cast members are up to the strength of the main character. The mother's performance is particularly strong. A ""must-see"" show--buy your tickets WAY in advance to secure availability at the best prices. We were thrilled we saw this and continue to listen to the soundtrack and talk with friends about the experience. Musical theater at its best--performances with something to say, and actors at the height of their abilities. Wow."	710	5	Dear Evan Hansen	Very Moving and Memorable	brmusicman
26	March 7, 2018	I had no idea what to expect as I had never heard of this musical before, but I was pleasantly surprised. This show had such a powerful message. So many of the audience members were in tears by the end of the show. It was completely sold out. We had amazing seats in the front row of the balcony. We could see everything wonderfully. Cast was partially the originsl cast which made it eben more special. I would definitely suggest this musical. 	11	5	Dear Evan Hansen	Wonderful show	windycitygirl2014
93	March 9, 2018	This show turns a tragedy into joy. The cast is superb and the music enchanting. You will laugh and you will cry. In the end, you will feel nothing but love. It's beautiful.	21	5	Dear Evan Hansen	Incredible Show	MaryEhret
