contribution	date	full_text	helpful	rating	title	user
65	July 25, 2018	I enjoyed every second of the lion king show I was so surprise and amazed at the same time great show	66	5	Good show	davionsamuels
122	August 29, 2016	This show is amazing. The music is terrific. Highly recommend. To get a better price for the tickets, buy them in their website or their location. Depend on my experience, the best place to sit is start from the 3rd, 4th row in the middle which called orchestra, or in the 1st row in the top called mezzanine 	56	5	Dream come true	SALEISSA
75	September 6, 2016	Two and half hours pass by so quickly. I was there with wife and two kods 8 and 13. They where thrilled as much as me. It is not just marketing,it is worth every dime. Recomending strongly.	20	5	Great show.	Strikan S
19	September 15, 2016	Had set out heart on seeing this show during our week long NY visit and I'm so glad we did. Yes it was expensive but SO worth it. Following advice on here we went directly to the box office about an hour before the show. Sadly there were no $99 seats left for that night. However we were offered excellent seats for the following evening priced at $146 so we just went for it. We were all enthralled with the show from beginning to end. The singing was stunning and costumes just wonderful, the humour ....just everything. Think we must be in the minority of people who were seeing this show for the first time and what a place to see it.	13	5	Just wonderful	C C
49	September 27, 2016	I'am a newbie in Broadway musicals, in fact that was the first one. It was so beautifully made, innovative and aesthetic. I'am now spoiled for any other Broadway show. It is really worth going. The whole show was very professional and a lot of fun to watch. I can highly recommend it.	23	5	It was beautiful	N H
124	October 9, 2016	Amongst all the big ticket, big costume, big cast Broadway musical productions, Lion King reigns supreme. I've seen An American in Paris, The King & I, and a bunch of smaller non-musical Broadway shows, and while Lion King's story wasn't a revelation for me (I'm a grown woman lol and have seen the movies a bunch of times) it's a real beauty of a show put on with a lot of heart. Come see it!	25	5	An NYC Classic	Ealgian
52	October 17, 2016	My adult daughter and I were in New York for a few days. Saw the Lion King on our first night there. The show was amazing! Everything about is was great from the performers to the costumes to special effects! It's a must see for all ages if you get the chance. Would definitely go again!	5	5	Show Was Amazing!!!	TaylorsMom94
101	October 23, 2016	The lion king was a great show. Excellent acting, singing, design, and presentation. The theatre was clean and the seats were comfy. Of course, I recommend sitting up close for a better experience. Since this play is hosted by Disney, be prepared for children to be present.	25	5	Great show	rccampbelljr
40	October 29, 2016	What's New York without a taste of Broadway? An amazing show, magical experience. Well worth every penny; exceptional talent, great vocals, set and visuals. I cannot flaw this show at all. Recommended to everyone visiting New York. Well worth it.	131	5	The Circle of Life! Incredible!	IzzyIsmail
6	November 12, 2016	I took my daughter to see the lion king in November and I was as very disappointed. The music and singing so not good; most the words were unclear.  Unfortunately, I am comparing this cast to the original as I went to see it when it just came out and there is no comparison. Not worth the price. 	3	2	Performance was C-	Ladylovezz
11	November 25, 2016	Absolutely beautiful! Stunning! We were amazed!! The acting and use of props was incredible!!! I and my husband will definitely be coming back here to see this again!! It was truly amazing and awe inspiring!!!	1	5	BEST SHOW EVER ON BROADWAY!!!	Faren R
195	December 4, 2016	We waited to see this particular show until we felt our grandchildren were old enough to appreciate it. The Lion King is a fantastic Broadway experience. Every minute of it was exciting both visually and musically. I would definitely recommend getting tickets for this awesome performance.	91	5	Fantastic Experience 	BrooklynBubbe
370	December 13, 2016	Bought tickets at the Box Office the day before...expensive! The show is outstanding. Singing, dancing, and costumes are amazing. If you enjoyed the movie...see the live show!!!	68	5	Second Time Attending...Great as the First Time	DavidB19922014
5	December 28, 2016	Absolutely loved this show, I went in with high expectations and it exceeded my expectations.  I have seen other broadway shows and this was the most entertaining and fantastical of all so far.	241	5	An amazing spectacle	michelle_pyc
93	January 7, 2017	We paid £500 for a family four to attend which was a huge expense for us. Fortunately it did live up to expectations. The opening scene had me in floods of tears and the attention to detail with the props, scenery and costumes made me understand why the ticket prices had been so high. Our children were mesmerised throughout the whole show and it was one of those magical family moments that I shall never forget. The only reason I didn't give a five was for the vocal quality, particularly with the young Simba who was flat. This didn't spoil a fantastic show though.	67	4	A real spectacle, a must see.	SarahVause
62	January 19, 2017	At last got to see this show and it was wonderful, from the acting, scenery and stage everything was so good. The work behind this show leaves you loving it.	35	5	Amazing show	uel m
11	April 16, 2008	Far from what you see in theatres, beyond the popcorn and the sodas, a broadway show is a must see for anyone visiting new york and this one was no exception. The story line was very childish but anyone could enjoy it, and the music was so well conducted and powerful. I hear its the best show in New York at the moment, so you should really check it out cause it's really something powerful that words can't describe. Of course, no cellphones, camcorders, or even photo cameras, but I'm sure you knew that.	18	5	First Broadway Show experiance, and it was GREAT	yoshiboy700
5	June 29, 2008	My family and I saw the Lion King last week in NYC, and we had been so excited about it. Unfortunately, do not expect the crowd to follow Broadway etiquette as half the crowd will be teenagers or younger. The young children yelling out and the teenage girls sitting all around us were talking the entire show which was completely distracting. Yes, the costumes and music were great, the set was a little less than great. If you decide to go to this show, pay extra to get seats on the floor away from the potential touring groups containing so many chatty teens. And maybe the set would look better from down there. This was my upteenth Broadway experience. We also saw Wicked on this same trip, and it was fabulous.	4	3	unfortunate experience	RHShockey
29	August 2, 2008	"I saw this play with my 2 daughters (10 and 15) and we all absolutely loved it! The play begins with the ""animals"" coming down the aisles. My youngest was sitting on the aisle and the expression on her face was absolutely priceless! I loved everything about it - the music, the costumes (absolutely amazing), the sets, everything! If you go with children, make sure you get one of the booster cushions for them (they were just in a pile in the back of the theater when we went)."	32	5	What a Great Play!!	ChantillyHokieMom
13	October 3, 2008	the most beautiful I've ever seen! perfect!	3	5	wonderful!	Simo23
25	January 23, 2017	What a fantastic show!! I had goosebumps the entire duration and I felt astounded with the amazing costumes. The best show I've seen and if I had the chance to go again I would in an instant. Highly recommended.  The theatre was nice and clean too. Very impressed.	6	5	WOW WOW WOW	Rachel2017X
50	January 25, 2017	Thoroughly enjoyed the Lion King !! The actors were fantastic and kept the audience watching !!! I'd give it a 10/10	28	5	Lion king	Lorraine M
22	January 27, 2017	"While visually astounding, it wasn't necessarily appreciated by our Lion Guard loving 4 year old girl. This was a once in a lifetime experience, but $431 later...I would wait a couple of years if given a ""do over."""	2	4	4 years old maybe a little young for this production 	AngiefromtheUSA
98	January 30, 2017	After many years of saving to cross oceans to see this show on Broadway we feel let down. We pre-booked tickets online expecting something spectacular and what we witnessed felt like a Broadway show fit for the 90s. Please please, renew this show to move with the times, it lacks x factor and definitely needs to take a break to re-fresh costumes, sets etc We really feel the young boy is not a good fit for his character, he was out of tune on copious occasions and never captivated the audience had he been casted right. The positive was the colour and ofcourse the storyline. All the best and please, watch Alladin on Broadway and you will see what we mean by re-freshing this show to give it's audience the best for what they are paying.	53	2	A let down	gcrleigh
96	January 9, 2017	Unbelievable! 3 time seeing the show (2nd on Broadway). The tickets can be expensive but the back 4/5 rows on the top deck over cheapest seats but still pricey at £100+ per ticket.	15	5	A must see!!	A TripAdvisor Member
52	January 13, 2017	My family has seen this play many times but this was our first on Broadway. It is so amazing all the work that goes into the acting and the costumes. There is not a bad seat in the theater. The actors come down the middle aisle and some are up in the upper level. We had an amazing time.	20	5	A play for all ages	Michael S
